cod,mpio_name,ADO|EU/LWAL+DNO,CR+PC/LWAL+DUL,CR/LINF+DNO,CR/LINF+DUL,CR/LWAL+DUL,MATO/LN,MCF/LWAL+DNO,MCF/LWAL+DUL,MR/LWAL+DUL,MUR+ST/LWAL+DNO,MUR/LWAL+DNO,UNK,W+WO/LN+DNO,CR/LINF+DUH,CR/LWAL+DUH,MCF/LWAL+DUH,MR/LWAL+DUH,CR/LINF+DUM,CR/LWAL+DUM,MCF/LWAL+DUM,MR/LWAL+DUM
5318,Guarne,35,27,0,0,33,0,261,0,0,83,2393,230,12,0,0,0,0,0,0,0,0
5321,Guatape,21,4,0,0,65,0,220,0,0,27,822,266,0,0,0,0,0,0,0,0,0
5347,Heliconia,433,2,0,0,1,0,27,0,0,17,365,264,4,0,0,0,0,0,0,0,0
5353,Hispania,7,1,0,0,0,0,43,0,0,22,551,71,0,0,0,0,0,0,0,0,0
5360,Itagui,464,54,12036,0,0,0,1328,0,0,40,8763,871,153,0,0,0,0,2257,1058,2467,794
5361,Ituango,696,3,0,0,13,1,97,0,0,49,1035,608,56,0,0,0,0,0,0,0,0
5364,Jardin,30,2,0,0,126,1,383,0,0,42,1143,312,12,0,0,0,0,0,0,0,0
5368,Jerico,234,22,0,0,5,1,102,0,0,51,1226,206,3,0,0,0,0,0,0,0,0
5376,La Ceja,250,14,720,0,0,0,526,0,0,11,5682,1105,5,0,0,0,0,180,606,1518,0
5380,La Estrella,375,44,1457,0,0,0,364,0,0,15,4556,343,27,0,0,0,0,365,234,1212,0
5390,La Pintada,5,5,0,0,17,10,118,0,0,56,1178,221,20,0,0,0,0,0,0,0,0
5400,La Union,39,7,0,0,173,0,519,0,0,60,1556,139,2,0,0,0,0,0,0,0,0
5411,Liborina,260,4,0,0,8,0,68,0,0,30,692,478,0,0,0,0,0,0,0,0,0
5425,Maceo,87,4,0,0,39,0,124,0,0,24,500,142,20,0,0,0,0,0,0,0,0
5440,Marinilla,161,8,880,0,0,0,359,0,0,5,1960,309,8,0,0,0,0,166,1296,557,57
5467,Montebello,59,1,0,0,0,0,26,0,0,14,339,114,3,0,0,0,0,0,0,0,0
5475,Murindo,3,4,0,0,0,0,3,0,0,0,22,63,446,0,0,0,0,0,0,0,0
5480,Mutata,3,26,0,0,3,0,68,0,0,52,1016,523,744,0,0,0,0,0,0,0,0
5483,Narino,2,3,0,0,7,0,62,0,0,30,650,169,2,0,0,0,0,0,0,0,0
5490,Necocli,15,18,0,0,0,14,0,0,0,32,127,1286,1553,0,0,0,0,0,0,0,0
5495,Nechi,33,48,0,0,3,10,105,0,0,123,1760,607,922,0,0,0,0,0,0,0,0
5501,Olaya,88,3,0,0,13,0,39,0,0,4,125,135,10,0,0,0,0,0,0,0,0
5541,Penol,76,5,0,0,34,1,212,0,0,66,1730,268,5,0,0,0,0,0,0,0,0
5543,Peque,55,3,0,0,2,0,37,0,0,24,485,148,4,0,0,0,0,0,0,0,0
5576,Pueblorrico,56,0,0,0,2,2,64,0,0,34,819,150,7,0,0,0,0,0,0,0,0
5579,Puerto Berrio,18,16,0,0,0,3,0,0,0,7,27,1069,1091,0,0,0,0,0,0,0,0
5585,Puerto Nare,2,41,0,0,3,0,157,0,0,118,2382,644,209,0,0,0,0,0,0,0,0
5591,Puerto Triunfo,3,54,0,0,19,0,225,0,0,122,2687,487,165,0,0,0,0,0,0,0,0
5604,Remedios,19,7,0,0,2,1,206,0,0,134,2823,750,382,0,0,0,0,0,0,0,0
5607,Retiro,20,5,0,0,7,0,188,0,0,65,1865,377,6,0,0,0,0,0,0,0,0
5615,Rionegro,676,46,1236,0,0,0,648,0,0,11,8463,1389,14,0,0,0,0,310,277,2257,0
5628,Sabanalarga,245,1,0,0,0,0,27,0,0,19,375,233,1,0,0,0,0,0,0,0,0
5631,Sabaneta,10,20,1955,0,0,0,376,0,0,3,2454,262,2,0,0,0,0,367,313,693,131
5642,Salgar,63,1,0,0,59,1,203,0,0,40,957,115,7,0,0,0,0,0,0,0,0
5647,San Andres de Cuerquia,38,0,0,0,0,0,42,0,0,29,610,166,4,0,0,0,0,0,0,0,0
5649,San Carlos,19,3,0,0,4,1,113,0,0,57,1391,345,17,0,0,0,0,0,0,0,0
5652,San Francisco,5,2,0,0,44,0,134,0,0,23,485,395,30,0,0,0,0,0,0,0,0
5656,San Jeronimo,90,9,0,0,5,0,70,0,0,30,783,1177,2,0,0,0,0,0,0,0,0
5658,San Jose de La Montana,155,0,0,0,1,0,25,0,0,12,303,115,0,0,0,0,0,0,0,0,0
5659,San Juan de Uraba,4,4,0,0,1,8,83,0,0,76,1333,421,899,0,0,0,0,0,0,0,0
5660,San Luis,3,2,0,0,3,0,105,0,0,58,1391,248,4,0,0,0,0,0,0,0,0
5664,San Pedro,129,13,0,0,10,0,130,0,0,47,1348,163,2,0,0,0,0,0,0,0,0
5665,San Pedro de Uraba,10,3,0,0,4,10,142,0,0,149,2306,625,695,0,0,0,0,0,0,0,0
5667,San Rafael,41,1,0,0,9,0,122,0,0,57,1390,265,9,0,0,0,0,0,0,0,0
5670,San Roque,541,5,0,0,6,0,124,0,0,69,1566,490,28,0,0,0,0,0,0,0,0
5674,San Vicente,129,5,0,0,1,0,36,0,0,16,432,71,7,0,0,0,0,0,0,0,0
5679,Santa Barbara,716,30,0,0,3,0,108,0,0,52,1351,347,6,0,0,0,0,0,0,0,0
5686,Santa Rosa de Osos,262,18,0,0,16,0,156,0,0,59,1557,457,2,0,0,0,0,0,0,0,0
5690,Santo Domingo,421,3,0,0,3,0,55,0,0,29,669,354,2,0,0,0,0,0,0,0,0
5697,El Santuario,32,11,0,0,0,0,0,0,0,0,3,367,0,0,0,0,0,0,0,0,0
5736,Segovia,170,33,0,0,0,1,0,0,0,9,41,1073,689,0,0,0,0,0,0,0,0
5756,Sonson,1398,17,0,0,12,0,241,0,0,135,3074,719,61,0,0,0,0,0,0,0,0
5761,Sopetran,210,12,0,0,42,0,181,0,0,47,1147,542,2,0,0,0,0,0,0,0,0
5789,Tamesis,371,2,0,0,7,0,128,0,0,61,1516,305,8,0,0,0,0,0,0,0,0
5790,Taraza,37,20,0,0,3,1,195,0,0,155,2977,1650,729,0,0,0,0,0,0,0,0
5792,Tarso,3,2,0,0,1,0,28,0,0,18,383,28,3,0,0,0,0,0,0,0,0
5809,Titiribi,239,11,0,0,4,0,63,0,0,31,723,258,3,0,0,0,0,0,0,0,0
5819,Toledo,111,3,0,0,1,0,27,0,0,12,305,148,5,0,0,0,0,0,0,0,0
5837,Turbo,37,69,1283,0,0,10,1010,0,0,356,8612,4115,5353,322,297,2318,0,0,0,0,0
5842,Uramita,80,1,0,0,0,1,22,0,0,15,315,70,5,0,0,0,0,0,0,0,0
5847,Urrao,70,8,0,0,8,1,237,0,0,136,3135,642,96,0,0,0,0,0,0,0,0
5854,Valdivia,3,2,0,0,2,0,47,0,0,29,621,200,41,0,0,0,0,0,0,0,0
5856,Valparaiso,243,2,0,0,33,0,113,0,0,23,539,171,2,0,0,0,0,0,0,0,0
5858,Vegachi,16,4,0,0,3,0,103,0,0,71,1499,171,32,0,0,0,0,0,0,0,0
5861,Venecia,240,2,0,0,5,0,97,0,0,48,1179,235,6,0,0,0,0,0,0,0,0
5873,Vigia del Fuerte,6,0,0,0,0,1,3,0,0,1,41,233,1070,0,0,0,0,0,0,0,0
5885,Yali,267,1,0,0,1,0,33,0,0,22,457,106,7,0,0,0,0,0,0,0,0
5887,Yarumal,575,90,0,0,0,0,0,0,0,9,32,799,41,0,0,0,0,0,0,0,0
5890,Yolombo,399,10,0,0,3,0,88,0,0,47,1125,345,45,0,0,0,0,0,0,0,0
5893,Yondo,4,24,0,0,3,0,134,0,0,102,2013,870,840,0,0,0,0,0,0,0,0
5895,Zaragoza,6,10,0,0,24,0,142,0,0,72,1355,412,353,0,0,0,0,0,0,0,0
8001,Barranquilla,47,1100,33498,5758,6559,3,11151,21917,2911,817,78357,12446,2559,0,0,0,0,0,0,0,0
8078,Baranoa,14,67,858,0,0,7,427,0,0,140,7491,974,130,0,0,0,0,215,143,1959,0
8137,Campo de La Cruz,66,35,0,0,0,8,0,0,0,44,174,354,18,0,0,0,0,0,0,0,0
8141,Candelaria,21,40,0,0,0,4,155,0,0,135,2495,159,7,0,0,0,0,0,0,0,0
8296,Galapa,4,19,762,0,0,0,441,0,0,71,6278,602,286,0,0,0,0,190,238,1658,0
8372,Juan de Acosta,5,1,0,0,5,1,123,0,0,79,1621,129,2,0,0,0,0,0,0,0,0
8421,Luruaco,387,138,0,0,0,6,0,0,0,40,161,433,49,0,0,0,0,0,0,0,0
8433,Malambo,26,75,1884,0,0,0,830,0,0,186,13594,1960,310,0,0,0,0,471,109,3577,0
8436,Manati,9,0,0,0,52,0,281,0,0,136,2565,249,2,0,0,0,0,0,0,0,0
8520,Palmar de Varela,1,0,0,0,0,2,0,0,0,14,55,138,151,0,0,0,0,0,0,0,0
8549,Piojo,16,1,0,0,0,1,45,0,0,39,734,76,6,0,0,0,0,0,0,0,0
8558,Polonuevo,0,0,0,0,1,0,162,0,0,123,2498,130,0,0,0,0,0,0,0,0,0
8560,Ponedera,22,1,0,0,0,14,0,0,0,30,121,236,186,0,0,0,0,0,0,0,0
8573,Puerto Colombia,7,46,748,0,0,0,307,0,0,42,4721,752,286,0,0,0,0,187,57,1245,0
8606,Repelon,500,5,0,0,0,1,0,0,0,30,122,400,40,0,0,0,0,0,0,0,0
8634,Sabanagrande,0,5,0,0,0,0,0,0,0,16,65,252,152,0,0,0,0,0,0,0,0
8638,Sabanalarga,165,56,590,0,0,32,649,0,0,227,12068,1187,498,0,0,0,0,147,43,3159,0
8675,Santa Lucia,18,125,0,0,1,0,114,0,0,108,1883,114,0,0,0,0,0,0,0,0,0
8685,Santo Tomas,1,11,0,0,0,0,0,0,0,13,55,328,115,0,0,0,0,0,0,0,0
8758,Soledad,10,320,12746,0,0,4,7279,0,0,549,53259,4308,246,0,0,0,0,2393,1343,15036,870
8770,Suan,1,3,0,0,1,0,97,0,0,75,1477,81,0,0,0,0,0,0,0,0,0
8832,Tubara,69,4,0,0,1,0,96,0,0,74,1445,470,31,0,0,0,0,0,0,0,0
8849,Usiacuri,3,0,0,0,1,0,93,0,0,66,1359,92,3,0,0,0,0,0,0,0,0
11001,Bogota,,,,,,,,,,,256631,,,,,,,,,,
13001,Cartagena,467,1163,29381,5050,5363,113,9199,18511,2549,1170,67218,13703,10075,0,0,0,0,0,0,0,0
13006,Achi,51,4,0,0,1,9,63,0,0,112,1237,326,653,0,0,0,0,0,0,0,0
13030,Altos del Rosario,7,5,0,0,0,2,34,0,0,53,671,139,248,0,0,0,0,0,0,0,0
13042,Arenal,26,6,0,0,1,8,66,0,0,70,1148,285,113,0,0,0,0,0,0,0,0
13052,Arjona,663,83,418,0,0,125,484,0,0,261,7907,1620,575,0,0,0,0,104,467,1968,0
13062,Arroyohondo,202,32,0,0,0,3,56,0,0,54,927,71,19,0,0,0,0,0,0,0,0
13074,Barranco de Loba,51,1,0,0,0,22,70,0,0,102,1312,285,144,0,0,0,0,0,0,0,0
13140,Calamar,243,108,0,0,0,26,0,0,0,60,240,354,48,0,0,0,0,0,0,0,0
13160,Cantagallo,0,0,0,0,0,2,38,0,0,33,594,195,171,0,0,0,0,0,0,0,0
13188,Cicuco,228,38,0,0,1,1,104,0,0,153,1950,363,126,0,0,0,0,0,0,0,0
13212,Cordoba,872,29,0,0,2,9,115,0,0,134,1918,447,51,0,0,0,0,0,0,0,0
13222,Clemencia,304,5,0,0,2,63,103,0,0,101,1667,251,332,0,0,0,0,0,0,0,0
13244,El Carmen de Bolivar,3020,11,338,0,0,108,316,0,0,183,6022,1025,309,0,0,0,0,82,23,1498,0
13248,El Guamo,600,1,0,0,1,0,48,0,0,70,924,186,8,0,0,0,0,0,0,0,0
13268,El Penon,20,1,0,0,0,7,40,0,0,54,740,172,228,0,0,0,0,0,0,0,0
13300,Hatillo de Loba,73,3,0,0,0,31,69,0,0,103,1316,271,350,0,0,0,0,0,0,0,0
13430,Magangue,794,574,806,0,0,323,818,0,0,741,16312,2728,2380,0,0,0,0,200,370,3811,0
13433,Mahates,744,24,0,0,0,31,0,0,0,34,136,416,132,0,0,0,0,0,0,0,0
13440,Margarita,166,84,0,0,8,2,57,0,0,84,855,180,60,0,0,0,0,0,0,0,0
13442,Maria La Baja,121,200,84,0,0,286,226,0,0,336,5412,663,683,0,0,0,0,20,17,1171,0
13458,Montecristo,2,0,0,0,0,1,36,0,0,51,664,191,554,0,0,0,0,0,0,0,0
13468,Mompos,333,255,0,0,0,45,0,0,0,267,1068,1235,460,0,0,0,0,0,0,0,0
13473,Morales,24,21,0,0,0,12,74,0,0,128,1448,259,560,0,0,0,0,0,0,0,0
13490,Norosi,2,3,0,0,0,1,18,0,0,22,319,53,278,0,0,0,0,0,0,0,0
13549,Pinillos,21,48,0,0,2,61,64,0,0,216,1631,262,659,0,0,0,0,0,0,0,0
13580,Regidor,2,19,0,0,0,3,38,0,0,42,647,165,234,0,0,0,0,0,0,0,0
13600,Rio Viejo ,36,5,0,0,0,10,53,0,0,55,904,182,307,0,0,0,0,0,0,0,0
13620,San Cristobal,2,2,0,0,9,0,84,0,0,79,1161,117,1,0,0,0,0,0,0,0,0
13647,San Estanislao,344,38,0,0,1,1,151,0,0,164,2571,209,30,0,0,0,0,0,0,0,0
13650,San Fernando,202,109,0,0,0,1,45,0,0,85,938,228,93,0,0,0,0,0,0,0,0
13654,San Jacinto,926,12,0,0,0,1,0,0,0,51,207,341,81,0,0,0,0,0,0,0,0
13655,San Jacinto del Cauca,13,1,0,0,0,14,27,0,0,56,555,231,311,0,0,0,0,0,0,0,0
13657,San Juan Nepomuceno,349,13,0,0,0,13,0,0,0,61,243,752,134,0,0,0,0,0,0,0,0
13667,San Martin de Loba,83,11,0,0,1,34,98,0,0,110,1694,346,530,0,0,0,0,0,0,0,0
13670,San Pablo,6,31,0,0,0,19,0,0,0,60,241,1000,1118,0,0,0,0,0,0,0,0
13673,Santa Catalina,111,6,0,0,2,27,165,0,0,128,2515,348,241,0,0,0,0,0,0,0,0
13683,Santa Rosa,2,192,0,0,1,1,111,0,0,79,1627,115,961,0,0,0,0,0,0,0,0
13688,Santa Rosa del Sur,20,9,0,0,4,0,203,0,0,163,3113,479,292,0,0,0,0,0,0,0,0
13744,Simiti,25,5,0,0,4,5,127,0,0,121,2015,593,430,0,0,0,0,0,0,0,0
13760,Soplaviento,216,26,0,0,0,0,92,0,0,87,1509,122,15,0,0,0,0,0,0,0,0
13780,Talaigua Nuevo,262,118,0,0,0,2,99,0,0,145,1878,229,19,0,0,0,0,0,0,0,0
13810,Tiquisio,11,77,0,0,0,7,57,0,0,73,1034,339,657,0,0,0,0,0,0,0,0
13836,Turbaco,23,23,1192,0,0,15,655,0,0,93,10482,1805,277,0,0,0,0,298,101,2772,0
13838,Turbana,121,3,0,0,1,5,158,0,0,105,2311,161,258,0,0,0,0,0,0,0,0
13873,Villanueva,151,10,0,0,0,5,0,0,0,34,137,190,1189,0,0,0,0,0,0,0,0
13894,Zambrano,153,5,0,0,0,3,104,0,0,105,1732,252,46,0,0,0,0,0,0,0,0
15001,Tunja,276,370,3560,0,0,0,2560,0,0,103,16805,2842,18,890,711,4757,0,0,0,0,0
15022,Almeida,6,3,0,0,0,0,5,0,0,3,66,20,1,0,0,0,0,0,0,0,0
15047,Aquitania,43,8,0,0,3,0,85,0,0,51,1123,238,8,0,0,0,0,0,0,0,0
15051,Arcabuco,3,9,0,0,6,0,48,0,0,13,394,57,0,0,0,0,0,0,0,0,0
15087,Belen,60,1,0,0,0,0,71,0,0,36,922,146,0,0,0,0,0,0,0,0,0
15090,Berbeo,23,2,0,0,0,0,7,0,0,4,88,36,3,0,0,0,0,0,0,0,0
15092,Beteitiva,19,0,0,0,0,0,5,0,0,3,59,26,0,0,0,0,0,0,0,0,0
15097,Boavita,116,0,0,0,1,0,33,0,0,18,435,89,0,0,0,0,0,0,0,0,0
15104,Boyaca,9,2,0,0,0,0,12,0,0,6,168,24,0,0,0,0,0,0,0,0,0
15106,Briceno,1,0,0,0,0,0,8,0,0,5,111,35,0,0,0,0,0,0,0,0,0
15109,Buenavista,6,0,0,0,0,0,11,0,0,6,151,20,0,0,0,0,0,0,0,0,0
15114,Busbanza,14,0,0,0,1,0,7,0,0,3,76,52,0,0,0,0,0,0,0,0,0
15131,Caldas,10,0,0,0,0,0,8,0,0,5,114,44,1,0,0,0,0,0,0,0,0
15135,Campohermoso,38,6,0,0,0,0,9,0,0,9,149,59,2,0,0,0,0,0,0,0,0
15162,Cerinza,8,1,0,0,0,0,27,0,0,13,357,71,1,0,0,0,0,0,0,0,0
15172,Chinavita,12,1,0,0,0,0,23,0,0,14,311,111,0,0,0,0,0,0,0,0,0
15176,Chiquinquira,63,54,1246,0,0,1,331,0,0,53,4962,909,31,0,0,0,0,310,73,1291,0
15180,Chiscas,127,2,0,0,0,0,12,0,0,7,156,137,0,0,0,0,0,0,0,0,0
15183,Chita,112,5,0,0,1,0,19,0,0,14,273,177,6,0,0,0,0,0,0,0,0
15185,Chitaraque,0,0,0,0,0,0,17,0,0,8,233,51,0,0,0,0,0,0,0,0,0
15187,Chivata,5,0,0,0,0,0,6,0,0,3,89,9,1,0,0,0,0,0,0,0,0
15189,Cienega,11,1,0,0,0,0,19,0,0,10,268,94,0,0,0,0,0,0,0,0,0
15204,Combita,13,1,0,0,0,0,21,0,0,11,284,36,0,0,0,0,0,0,0,0,0
15212,Coper,2,7,0,0,8,0,30,0,0,8,157,48,1,0,0,0,0,0,0,0,0
15215,Corrales,150,1,0,0,0,0,15,0,0,9,225,52,0,0,0,0,0,0,0,0,0
15218,Covarachia,21,1,0,0,0,0,7,0,0,4,107,30,0,0,0,0,0,0,0,0,0
15223,Cubara,2,2,0,0,1,0,36,0,0,26,513,185,77,0,0,0,0,0,0,0,0
15224,Cucaita,53,2,0,0,0,0,17,0,0,14,276,55,0,0,0,0,0,0,0,0,0
15226,Cuitiva,6,3,0,0,2,0,9,0,0,4,76,43,0,0,0,0,0,0,0,0,0
15232,Chiquiza,3,0,0,0,0,0,4,0,0,3,70,29,0,0,0,0,0,0,0,0,0
15236,Chivor,3,1,0,0,0,0,8,0,0,5,131,13,3,0,0,0,0,0,0,0,0
15238,Duitama,224,68,3328,0,0,0,1541,0,0,64,10630,2060,30,832,178,3019,0,0,0,0,0
15244,El Cocuy,283,1,0,0,0,1,17,0,0,12,239,118,8,0,0,0,0,0,0,0,0
15248,El Espino,57,0,0,0,2,0,24,0,0,13,270,93,2,0,0,0,0,0,0,0,0
15272,Firavitoba,28,0,0,0,0,0,40,0,0,20,525,101,4,0,0,0,0,0,0,0,0
15276,Floresta,93,1,0,0,0,0,17,0,0,11,243,113,1,0,0,0,0,0,0,0,0
15293,Gachantiva,19,7,0,0,4,0,17,0,0,2,101,45,1,0,0,0,0,0,0,0,0
15296,Gameza,27,0,0,0,1,0,24,0,0,12,286,54,0,0,0,0,0,0,0,0,0
15299,Garagoa,40,49,0,0,9,0,203,0,0,102,2471,504,13,0,0,0,0,0,0,0,0
15317,Guacamayas,59,1,0,0,0,0,8,0,0,4,110,50,0,0,0,0,0,0,0,0,0
15322,Guateque,98,19,0,0,2,0,109,0,0,67,1444,341,10,0,0,0,0,0,0,0,0
15325,Guayata,28,23,0,0,0,0,15,0,0,9,207,129,2,0,0,0,0,0,0,0,0
15332,Guican,72,2,0,0,1,0,16,0,0,15,228,100,2,0,0,0,0,0,0,0,0
15362,Iza,61,2,0,0,1,0,19,0,0,9,237,95,4,0,0,0,0,0,0,0,0
15367,Jenesano,6,1,0,0,0,0,30,0,0,12,363,145,1,0,0,0,0,0,0,0,0
15368,Jerico,63,2,0,0,0,0,10,0,0,11,192,69,0,0,0,0,0,0,0,0,0
15377,Labranzagrande,56,1,0,0,0,0,13,0,0,11,207,53,5,0,0,0,0,0,0,0,0
15380,La Capilla,13,1,0,0,0,0,18,0,0,10,251,54,0,0,0,0,0,0,0,0,0
15401,La Victoria,3,1,0,0,0,0,6,0,0,3,80,28,1,0,0,0,0,0,0,0,0
15403,La Uvita,39,3,0,0,2,0,23,0,0,14,271,146,0,0,0,0,0,0,0,0,0
15407,Villa de Leyva,32,3,0,0,2,0,119,0,0,49,1405,366,9,0,0,0,0,0,0,0,0
15425,Macanal,22,0,0,0,0,0,19,0,0,10,229,58,1,0,0,0,0,0,0,0,0
15442,Maripi,3,2,0,0,0,0,10,0,0,9,168,54,38,0,0,0,0,0,0,0,0
15455,Miraflores,137,77,0,0,1,0,73,0,0,41,971,180,36,0,0,0,0,0,0,0,0
15464,Mongua,108,0,0,0,0,0,25,0,0,16,352,143,1,0,0,0,0,0,0,0,0
15466,Mongui,47,1,0,0,0,0,42,0,0,24,558,243,2,0,0,0,0,0,0,0,0
15469,Moniquira,10,8,0,0,8,0,184,0,0,77,2169,522,4,0,0,0,0,0,0,0,0
15476,Motavita,1,2,0,0,0,0,13,0,0,4,136,16,0,0,0,0,0,0,0,0,0
15480,Muzo,0,53,0,0,1,1,61,0,0,36,832,69,153,0,0,0,0,0,0,0,0
15491,Nobsa,45,7,0,0,34,0,265,0,0,83,2378,395,1,0,0,0,0,0,0,0,0
15494,Nuevo Colon,5,1,0,0,0,0,17,0,0,8,223,84,2,0,0,0,0,0,0,0,0
15500,Oicata,4,0,0,0,0,0,9,0,0,2,76,37,1,0,0,0,0,0,0,0,0
15507,Otanche,0,9,0,0,2,0,25,0,0,14,287,72,255,0,0,0,0,0,0,0,0
15511,Pachavita,9,1,0,0,0,0,10,0,0,6,126,38,1,0,0,0,0,0,0,0,0
